,per_it_avg_total_length,per_it_avg_max_path_length,per_it_avg_fitness,per_it_best_fitness
0,61387.408712340264,6469.592146300612,397109339.4353282,309409630.8979454
1,59508.60252293762,6009.328990220551,364409849.412924,307531255.9638448
2,59224.081838643506,6048.631581487896,365924505.6850561,298111127.8669407
3,57927.28213020647,5150.920296328171,298378813.23560864,298111127.8669407
4,57936.34574454152,5150.920296328171,298425499.1906451,297985015.898776
5,57896.08047054198,5185.764582434101,300249633.9581121,297985015.898776
6,58970.79606344933,5915.034638175404,356271194.28498,291594716.6564409
7,57633.5927036984,5065.935957307329,291968089.6264709,291285938.281
8,57619.76155960942,5085.952875642029,293052980.2557763,291285938.281
9,57524.13316024145,5072.411541352519,291787452.95404345,291285938.281
10,58452.02994931183,5812.752150103113,346702697.5846981,288390432.6369019
11,56923.23195525786,5065.935957307329,288369447.5682863,286931353.0347732
12,56741.76982940796,5065.935957307329,287450172.06005394,285928372.54090095
13,56554.170195542436,5115.04085976711,289295465.2779816,284785282.5098257
14,56215.72892153106,5065.935957307329,284785282.5098257,284785282.5098257
15,56233.54012463904,5069.916578232936,285099444.8844162,284482950.45183563
16,56168.45091596503,5075.554512297244,285093778.4949954,281588432.16934055
17,55716.350012445626,5065.935957307329,282255460.9379689,280535743.280558
18,55376.883096183046,5065.935957307329,280535743.280558,280535743.280558
19,55544.739212916735,5142.045871456531,285661877.24460787,278980177.4311759
20,56380.525543635966,5726.929794111931,329552315.76848805,268780948.47884154
21,55264.11176865718,4862.3532781857075,268713635.0243516,268107813.93394157
22,55244.28862091224,4883.251637056759,269785930.98583496,267682615.11009508
23,55128.77327323635,4862.3532781857075,268055571.4474774,267682615.11009508
24,55379.89886783246,5018.052316007623,278090609.1049238,267682615.11009508
25,56168.75172577072,5673.861180682861,326484685.39430034,267427610.58069974
26,54974.643913399734,4862.3532781857075,267306140.04941115,266592348.58423725
27,54919.32977947859,4882.370196520407,268145142.64830294,266592348.58423725
28,54937.40212404435,4862.3532781857075,267125057.31285343,266592348.58423725
29,54729.24732846303,4862.3532781857075,266112935.1601886,263283358.74276528
30,54240.13668251775,4862.3532781857075,263734706.407481,262080861.88592586
31,55121.74905876377,5597.484350715927,316444491.38842905,262080861.88592586
32,53991.501303857774,4862.3532781857075,262525753.35898072,262080861.88592586
33,54044.057122727834,4829.25734215968,260997427.22791213,244242150.9935339
34,53862.37162263491,4531.393917925426,244071623.17584696,242956632.5046022
35,53586.589192578664,4531.393917925426,242821944.3496194,241609750.95477408
36,53529.67899185101,4592.753979451246,245936346.29646152,236323781.8430228
37,53413.76382302295,4475.452059807452,239070258.97410917,235043278.163961
38,52989.12020871382,4440.501176317286,235298250.6188118,235043278.16396096
39,52977.75080935862,4440.501176317286,235247764.787601,235043278.16396096
40,52966.06251254084,4440.501176317286,235195862.8918325,234559790.63116938
41,52859.98787697135,4440.501176317286,234724838.34780875,234559790.63116938
42,52877.042425014835,4440.501176317286,234800569.0884574,234559790.63116938
43,52902.08567735419,4459.448291854198,235912613.73760217,231727761.0051247
44,53906.01083578823,5168.321216607123,285767611.18954796,231727761.0051247
45,53875.90364668961,5229.028460740922,289927997.60475594,227329699.1850359
46,52386.40811087341,4353.288727313802,228053159.89352554,227329699.1850359
47,52315.076118292345,4393.215887619575,229829162.07242632,223414126.6460612
